keyword,hit_count,hit_ratio,non_hit_count,non_hit_ratio,lift
based on novel or book,57,0.1579,886,0.121,1.3
miniseries,41,0.1136,398,0.0544,2.09
absurd,23,0.0637,126,0.0172,3.7
amused,20,0.0554,206,0.0281,1.97
holiday,20,0.0554,87,0.0119,4.66
love,20,0.0554,361,0.0493,1.12
based on true story,19,0.0526,234,0.032,1.65
thriller,19,0.0526,198,0.027,1.95
christmas,18,0.0499,117,0.016,3.12
romcom,17,0.0471,232,0.0317,1.49
murder,17,0.0471,298,0.0407,1.16
friendship,17,0.0471,413,0.0564,0.83
affectation,15,0.0416,74,0.0101,4.11
sequel,14,0.0388,279,0.0381,1.02
admiring,14,0.0388,124,0.0169,2.29
dramatic,13,0.036,133,0.0182,1.98
hilarious,13,0.036,160,0.0219,1.65
conspiracy,13,0.036,85,0.0116,3.1
awestruck,11,0.0305,53,0.0072,4.21
new york city,11,0.0305,164,0.0224,1.36
