genres,sum,mean,count
Soap,89,6.846153846,13
Action & Adventure,534,4.107692308,130
Talk,8,4,2
Sci-Fi & Fantasy,533,3.890510949,137
Family,836,3.78280543,221
Animation,735,3.418604651,215
Mystery,812,3.300813008,246
Drama,3528,3.164125561,1115
Comedy,2224,3.08033241,722
Kids,112,3.027027027,37
Western,48,3,16
Adventure,682,2.877637131,237
War,92,2.875,32
Fantasy,412,2.861111111,144
War & Politics,62,2.818181818,22
Music,131,2.787234043,47
Crime,1319,2.730848861,483
History,152,2.666666667,57
Action,1085,2.558962264,424
Romance,679,2.524163569,269
Horror,295,2.521367521,117
Science Fiction,283,2.460869565,115
Reality,176,2.378378378,74
Thriller,952,2.32195122,410
Documentary,449,1.902542373,236
TV Movie,21,1.4,15
