키워드 수,평균 시청시간,표준편차,콘텐츠 수
0,9838042.553191489,11548464.27228489,940
1,14109839.572192512,13720069.976235116,561
2,15518794.567062818,16784040.678681746,589
3,14764584.905660378,16509003.9223419,530
4,16695547.703180213,15868460.396749493,566
5,21354649.80544747,21399784.3709858,514
6,20282421.05263158,26429394.106994305,570
7,19682740.046838406,19688838.255828872,427
8,17586373.333333332,17639705.748613913,375
9,13540676.15658363,12925195.159003297,281
10,20971513.353115726,23295131.959286373,337
11,24404943.181818184,24777582.73650941,352
12,20017888.888888888,23899948.55391539,270
13,32031453.287197232,47258745.55269063,289
14,15999565.217391305,16243898.686773075,115
15,11748297.872340426,12334031.895384112,141
16,40175606.06060606,92287580.92376058,132
17,20750781.25,24213343.64541732,64
18,20517443.609022558,23090063.540935688,133
19,29443789.47368421,35912470.162141405,95
20,14115147.05882353,22891252.54898982,68
21,12733333.333333334,11777127.99708185,39
22,18621086.95652174,29863817.440601997,46
23,11096285.714285715,14159252.864493672,35
24,22897777.777777776,19372494.533344034,9
25,18165000.0,21051141.343211107,28
26,18132142.85714286,14701177.417483184,28
27,11381666.666666666,9181477.037396288,18
28,32157600.0,35591263.80768982,50
29,12952857.142857144,6651031.785334047,7
30,6560000.0,2412053.0674095876,5
32,7492000.0,1187884.6745370529,5
33,9400000.0,,1
34,12500000.0,5070831.62147328,4
36,7700000.0,,1
37,58315294.11764706,71695792.10394266,51
38,11600000.0,,1
41,15313333.333333334,11011708.919751436,3
49,12550000.0,791959.5949289332,2
